initial_q50,initial_cv,initial_minmax_ratio,initial_nmadydt,final_q50,final_cv,final_minmax_ratio,final_nmadydt,cv_total,minmax_ratio_total,nmadydt_total,prob_stochastic,pred_label
631.0773649514197,0.00446557548768595,0.984395868031291,0.0017080153176315858,631.0773649514197,0.00446557548768595,0.984395868031291,0.0017080153176315858,0.00446557548768595,0.984395868031291,0.0017080153176315858,0.0,0
6240.913009475052,0.0025987927000064672,0.9920382016891335,0.0008118462431640584,6240.913009475052,0.0025987927000064672,0.9920382016891335,0.0008118462431640584,0.0025987927000064672,0.9920382016891335,0.0008118462431640584,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9636363636363636,1
2084.3005634395827,0.019671086989387368,0.9391094572782022,0.0062779644131551165,2084.3005634395827,0.019671086989387368,0.9391094572782022,0.0062779644131551165,0.019671086989387368,0.9391094572782022,0.0062779644131551165,0.0,0
56.693501892914426,0.01772149240605386,0.9448304800405251,0.00568625034927709,56.693501892914426,0.01772149240605386,0.9448304800405251,0.00568625034927709,0.01772149240605386,0.9448304800405251,0.00568625034927709,0.8471163183315331,1
18.428946839497694,0.3341504947067739,0.3532644892813893,0.12293336171819215,18.428946839497694,0.3341504947067739,0.3532644892813893,0.12293336171819215,0.3341504947067739,0.3532644892813893,0.12293336171819215,1.0,1
20.465164105677353,0.3346485220411289,0.35261077765618015,0.12312554980761983,20.465164105677353,0.3346485220411289,0.35261077765618015,0.12312554980761983,0.3346485220411289,0.35261077765618015,0.12312554980761983,1.0,1
22.524717447027633,0.33413380687884503,0.3532856086885034,0.12292694062909812,22.524717447027633,0.33413380687884503,0.3532856086885034,0.12292694062909812,0.33413380687884503,0.3532856086885034,0.12292694062909812,1.0,1
6240.91300947505,0.00259879270000642,0.9920382016891337,0.0008118462431640452,6240.91300947505,0.00259879270000642,0.9920382016891337,0.0008118462431640452,0.00259879270000642,0.9920382016891337,0.0008118462431640452,0.0,0
56.693501892914426,0.017721492406053828,0.9448304800405251,0.005686250349277095,56.693501892914426,0.017721492406053828,0.9448304800405251,0.005686250349277095,0.017721492406053828,0.9448304800405251,0.005686250349277095,0.8471163183315331,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9636363636363636,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9636363636363636,1
103.03861700601085,0.2311651500114904,0.4804865932285595,0.07498991988367996,103.03861700601085,0.2311651500114904,0.4804865932285595,0.07498991988367996,0.2311651500114904,0.4804865932285595,0.07498991988367996,0.8040320377916272,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9636363636363636,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9636363636363636,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9636363636363636,1
92.78216070349052,0.23068375015153925,0.48132014643735116,0.07483050590769046,92.78216070349052,0.23068375015153925,0.48132014643735116,0.07483050590769046,0.23068375015153925,0.48132014643735116,0.07483050590769046,0.8250152160115801,1
1382.5697908244706,0.14013786429472183,0.6427838326743834,0.04186650012288865,1382.5697908244706,0.14013786429472183,0.6427838326743834,0.04186650012288865,0.14013786429472183,0.6427838326743834,0.04186650012288865,0.0,0
1535.9809500848019,0.14031635090845151,0.6423873034441009,0.0419191023352266,1535.9809500848019,0.14031635090845151,0.6423873034441009,0.0419191023352266,0.14031635090845151,0.6423873034441009,0.0419191023352266,0.0,0
1689.815785824971,0.14013167321389539,0.6427974045036249,0.041864698216079986,1689.815785824971,0.14013167321389539,0.6427974045036249,0.041864698216079986,0.14013167321389539,0.6427974045036249,0.041864698216079986,0.0,0
113.4024918325939,0.2306676179204063,0.48134732055990614,0.07482521534258968,113.4024918325939,0.2306676179204063,0.48134732055990614,0.07482521534258968,0.2306676179204063,0.48134732055990614,0.07482521534258968,0.7951044182608398,1
11.542938295661617,0.07580665377400012,0.7953233272444906,0.025211333797864915,11.542938295661617,0.07580665377400012,0.7953233272444906,0.025211333797864915,0.07580665377400012,0.7953233272444906,0.025211333797864915,0.7898296564436038,1
