time,rmr,em,rmp,rmq,rmt,mg3,mg2,mg1,et,rmm,zmm,zmr,rmg2,zmp,zmq,zmt,rmg3,g3,g2,g1,rmg1,mt,mm,q,p,si,mq,mp,mr,r,a
0.0,636.8834140344209,6280.763121336224,0.0,2003.0823195737614,54.60276858689582,33.92397566889606,37.6933062987734,41.462636928650745,6280.763121336222,54.60276858689582,0.0,0.0,148.71271412245721,0.0,0.0,0.0,133.8414427102115,1644.6856251027064,1827.4284723363403,2010.1713195699745,163.58398553470295,13.83983133689645,13.83983133689645,230407.4662763309,0.0,128.40457623652202,507.70908095442775,0.0,52.88591040094064,13.433165820886776,9.183255033838888
1.0,624.1209999546844,6267.062194071352,0.0,1998.8169734823832,51.60276858689582,28.923975668896063,33.6933062987734,36.462636928650745,6264.955403841447,52.60276858689582,0.0,0.0,137.71271412245721,0.0,0.0,0.0,118.84144271021151,1585.538383644873,1772.6737875173294,1938.5252156392064,145.58398553470295,12.83983133689645,13.83983133689645,230055.4865166338,0.0,128.40457623652202,505.69943352942073,0.0,54.88591040094064,12.433165820886776,7.183255033838888
2.0,642.4689490662473,6251.79955613764,0.0,2010.451894428566,46.60276858689582,23.923975668896063,29.6933062987734,32.462636928650745,6238.533270568115,51.60276858689582,0.0,0.0,119.71271412245721,0.0,0.0,0.0,102.84144271021151,1517.0682551957525,1705.8630956587795,1885.365824527517,140.58398553470295,11.83983133689645,12.83983133689645,229755.89187712554,0.0,128.40457623652202,491.59942218602134,0.0,53.88591040094064,13.433165820886776,8.183255033838888
3.0,648.5562662758838,6241.999104998625,0.0,2009.1288668084026,46.60276858689582,20.923975668896063,26.6933062987734,31.462636928650745,6213.322652668956,53.60276858689582,0.0,0.0,111.71271412245721,0.0,0.0,0.0,89.84144271021151,1434.08427845612,1634.5546381590655,1827.373703541582,133.58398553470295,10.83983133689645,13.83983133689645,229485.00044123325,0.0,128.40457623652202,491.30360421987325,0.0,53.88591040094064,13.433165820886776,8.183255033838888
4.0,683.0428390314568,6222.820111247706,0.0,2037.6191946541971,47.60276858689582,18.923975668896063,22.6933062987734,29.462636928650745,6190.26102035281,49.60276858689582,0.0,0.0,98.71271412245721,0.0,0.0,0.0,78.84144271021151,1342.9873241965392,1548.93584409833,1765.048025082463,126.58398553470295,11.83983133689645,11.83983133689645,229254.88198094358,0.0,127.40457623652202,463.92089025153854,0.0,53.88591040094064,14.433165820886776,8.183255033838888
5.0,697.1591005466277,6196.068413961968,0.0,2054.6294238225973,47.60276858689582,17.923975668896063,18.6933062987734,24.462636928650745,6168.365680200164,45.60276858689582,0.0,0.0,88.71271412245721,0.0,0.0,0.0,82.84144271021151,1267.3163075867817,1448.439773448348,1674.7056608612031,113.58398553470295,9.83983133689645,10.83983133689645,229055.45730489003,0.0,127.40457623652202,448.19874127506864,0.0,53.88591040094064,14.433165820886776,7.183255033838888
6.0,666.9563994031165,6172.924644532873,0.0,2056.239145202343,51.60276858689582,16.923975668896063,16.6933062987734,22.462636928650745,6156.299726258124,46.60276858689582,0.0,0.0,81.71271412245721,0.0,0.0,0.0,77.84144271021151,1195.4474896637364,1352.2623902170992,1584.9971937332084,105.58398553470295,10.83983133689645,9.83983133689645,228900.6718971545,0.0,128.40457623652202,448.5583481968543,0.0,49.88591040094064,14.433165820886776,7.183255033838888
7.0,675.1354258336426,6154.204269623622,0.0,2068.8601490254464,51.60276858689582,14.923975668896063,14.6933062987734,18.462636928650745,6144.6459346496795,48.60276858689582,0.0,0.0,76.71271412245721,0.0,0.0,0.0,69.84144271021151,1128.2062389996454,1271.4868776008348,1491.6952988243634,90.58398553470295,11.83983133689645,10.83983133689645,228798.55462758834,0.0,128.40457623652202,440.66476547725944,0.0,48.88591040094064,15.433165820886776,8.183255033838888
8.0,677.8564916521444,6142.950559169505,0.0,2072.8779609271096,55.60276858689582,13.923975668896063,14.6933062987734,16.462636928650745,6142.553382338353,51.60276858689582,0.0,0.0,66.71271412245721,0.0,0.0,0.0,64.84144271021151,1062.597584287856,1184.4479937319884,1394.3519193863285,80.58398553470295,11.83983133689645,10.83983133689645,228721.74810921834,0.0,127.40457623652202,441.51624827941004,0.0,48.88591040094064,15.433165820886776,8.183255033838888
9.0,678.7233694303602,6133.73511921218,0.0,2076.6943639046594,59.60276858689582,13.923975668896063,12.6933062987734,17.462636928650745,6149.032742967333,52.60276858689582,0.0,0.0,65.71271412245721,0.0,0.0,0.0,67.84144271021151,1014.6717509921424,1110.6322820680884,1309.9780629788968,78.58398553470295,12.83983133689645,10.83983133689645,228639.0970705468,0.0,128.40457623652202,442.32568191945285,0.0,48.88591040094064,15.433165820886776,8.183255033838888
10.0,669.6941918665749,6113.430770546725,0.0,2070.044214340293,66.60276858689582,14.923975668896063,12.6933062987734,15.462636928650745,6170.579283301709,46.60276858689582,0.0,0.0,62.712714122457214,0.0,0.0,0.0,65.84144271021151,964.1770101554233,1037.2555029066548,1218.8152069387056,71.58398553470295,13.83983133689645,9.83983133689645,228582.5832217585,0.0,129.40457623652202,451.55908692544443,0.0,50.88591040094064,14.433165820886778,7.183255033838888
