time,rmr,em,rmp,rmq,rmt,mg3,mg2,mg1,et,rmm,zmm,zmr,rmg2,zmp,zmq,zmt,rmg3,g3,g2,g1,rmg1,mt,mm,q,p,si,mq,mp,mr,r,a
0.0,636.8834140344209,6280.763121336224,0.0,2003.0823195737614,54.60276858689582,33.92397566889606,37.6933062987734,41.462636928650745,6280.763121336222,54.60276858689582,0.0,0.0,148.71271412245721,0.0,0.0,0.0,133.8414427102115,1644.6856251027064,1827.4284723363403,2010.1713195699745,163.58398553470295,13.83983133689645,13.83983133689645,230407.4662763309,0.0,128.40457623652202,507.70908095442775,0.0,52.88591040094064,13.433165820886776,9.183255033838888
1.0,639.109200099032,6272.401220462358,0.0,1998.5216807685633,53.60276858689582,29.923975668896063,33.6933062987734,37.462636928650745,6268.1880035142585,55.60276858689582,0.0,0.0,141.71271412245721,0.0,0.0,0.0,121.84144271021151,1591.109445338222,1780.1527648216836,1945.979151670843,149.58398553470295,12.83983133689645,13.83983133689645,230019.20446842324,0.0,128.40457623652202,505.62849048887466,0.0,56.88591040094064,12.433165820886776,7.183255033838888
2.0,649.8672438938343,6266.0800894015065,0.0,2026.2649300992625,58.60276858689582,26.923975668896063,31.6933062987734,36.462636928650745,6266.1643044389275,56.60276858689582,0.0,0.0,126.71271412245721,0.0,0.0,0.0,110.84144271021151,1525.620080482902,1712.1099041851041,1881.4021872909188,143.58398553470295,13.83983133689645,13.83983133689645,229681.97983142824,0.0,128.40457623652202,474.7039251772289,0.0,53.88591040094064,13.433165820886776,7.183255033838888
3.0,642.7755164237615,6267.719784553608,0.0,2007.9382890382005,61.60276858689582,23.923975668896063,25.6933062987734,29.462636928650745,6272.283336032766,59.60276858689582,0.0,0.0,117.71271412245721,0.0,0.0,0.0,107.84144271021151,1477.798666348035,1651.629134208372,1815.4183641909608,129.58398553470295,13.83983133689645,13.83983133689645,229349.96559797382,0.0,128.40457623652202,491.02731050130205,0.0,52.88591040094064,13.433165820886776,8.183255033838888
4.0,651.1910991924351,6263.171026891259,0.0,2023.4787050241093,60.60276858689582,24.923975668896063,25.6933062987734,30.462636928650745,6276.071786640556,56.60276858689582,0.0,0.0,107.71271412245721,0.0,0.0,0.0,101.84144271021151,1415.1876555724298,1569.8342261967418,1743.2936283891393,127.58398553470295,14.83983133689645,14.83983133689645,229081.92344360505,0.0,128.40457623652202,474.11004686034977,0.0,53.88591040094064,13.433165820886776,7.183255033838888
5.0,635.22050751866,6266.767571497858,0.0,2006.5390026938737,62.60276858689582,20.923975668896063,22.6933062987734,27.462636928650745,6286.123341783684,59.60276858689582,0.0,0.0,101.71271412245721,0.0,0.0,0.0,94.84144271021151,1360.5257804530859,1502.0107440224124,1679.5683800053262,118.58398553470295,14.83983133689645,13.83983133689645,228827.15980213784,0.0,129.40457623652202,490.7357369252454,0.0,51.88591040094064,13.433165820886776,8.183255033838888
6.0,630.1032456059029,6274.862929641516,0.0,2007.190415091072,59.60276858689582,18.923975668896063,19.6933062987734,25.462636928650745,6291.58287586516,60.60276858689582,0.0,0.0,85.71271412245721,0.0,0.0,0.0,81.84144271021151,1289.208217633888,1413.7258188459468,1598.836227538349,104.58398553470295,14.83983133689645,14.83983133689645,228660.99026240304,0.0,128.40457623652202,490.9083475310657,0.0,51.88591040094064,13.433165820886776,8.183255033838888
7.0,650.9823097433508,6282.0758042791695,0.0,2037.4312084326573,64.60276858689582,17.923975668896063,17.6933062987734,22.462636928650745,6307.417586861653,60.60276858689582,0.0,0.0,76.71271412245721,0.0,0.0,0.0,73.84144271021151,1213.8604789789695,1322.330859485696,1513.6422271521938,95.58398553470295,15.83983133689645,14.83983133689645,228534.17499759654,0.0,128.40457623652202,463.93909346184284,0.0,50.88591040094064,14.433165820886776,8.183255033838888
8.0,657.8736083642218,6291.512463899522,0.0,2040.2982040644695,65.60276858689582,15.923975668896063,15.6933062987734,18.462636928650745,6325.300082833893,61.60276858689582,0.0,0.0,71.71271412245721,0.0,0.0,0.0,71.84144271021151,1147.7054151814934,1236.784818480347,1412.623905425334,80.58398553470295,14.83983133689645,13.83983133689645,228424.4067511283,0.0,129.40457623652202,464.5930484374827,0.0,50.88591040094064,14.433165820886776,8.183255033838888
9.0,651.4591940207299,6301.266006642101,0.0,2043.337216578154,61.60276858689582,15.923975668896063,14.6933062987734,17.462636928650745,6334.364524586738,61.60276858689582,0.0,0.0,66.71271412245721,0.0,0.0,0.0,69.84144271021151,1089.1821335498037,1156.1201057690862,1323.3447160483263,77.58398553470295,13.83983133689645,13.83983133689645,228341.97774873953,0.0,128.40457623652202,465.2836405334199,0.0,49.88591040094064,14.433165820886776,8.183255033838888
10.0,647.1398535256361,6312.613744314159,0.0,2032.902983396742,62.60276858689582,14.923975668896063,14.6933062987734,15.462636928650745,6347.367322745564,61.60276858689582,0.0,0.0,63.712714122457214,0.0,0.0,0.0,64.84144271021151,1036.8834838667738,1089.529332976344,1242.0434592297493,70.58398553470295,13.83983133689645,13.83983133689645,228280.69235879232,0.0,129.40457623652202,479.9028962720316,0.0,49.88591040094064,14.433165820886776,9.183255033838888
