model,species_index,species_name,mean_total,std_total,cv_total,madydt_total,min,max,minmax_ratio,final_mean,final_std,final_cv,final_madydt,final_value,initial_mean,label
model_B2_repressilator_low,5,Y5,99.18574295280175,40.98505890115132,0.4132152230855794,1.071905088214794,12.0,179.94584413674067,0.06668673043030739,146.16888449266088,30.03878716773057,0.20550739832210055,1.60519468124442,126.10664101638437,80.54357130201747,1
model_B3_toggle_switch_faithful,0,Y0,0.31650552837770785,0.22615765238678878,0.7145456622678159,0.0027420338000966014,0.18903113990129244,5.0,0.03780622798045093,0.3040018008756668,3.013586025162217e-13,9.913053200578986e-13,1.8747444707756356e-14,0.3040018008764856,0.982065656670092,1
model_B3_toggle_switch_faithful,1,Y1,257.2390090000591,14.71586793889151,0.05720698425987199,0.130300048545135,200.0,346.8330347805478,0.5766463397194754,253.33483406675776,1.0747846657921958e-10,4.2425459165594604e-13,6.836521038167162e-12,253.3348340664714,323.09138151847503,0
model_B3_toggle_switch_faithful,2,Y2,0.31650552837770785,0.22615765238678878,0.7145456622678159,0.0027420338000966014,0.18903113990129244,5.0,0.03780622798045093,0.3040018008756668,3.013586025162217e-13,9.913053200578986e-13,1.8747444707756356e-14,0.3040018008764856,0.982065656670092,1
model_B3_toggle_switch_faithful,3,Y3,257.2390090000591,14.71586793889151,0.05720698425987199,0.130300048545135,200.0,346.8330347805478,0.5766463397194754,253.33483406675776,1.0747846657921958e-10,4.2425459165594604e-13,6.836521038167162e-12,253.3348340664714,323.09138151847503,0
model_B4_lambda_phage_low,0,m_cI,5.911014904569194,1.1225351387963245,0.1899056518921004,0.003882874753174317,0.7963909026342645,6.232815561138196,0.12777385995514762,6.232815561127072,5.446206940275961e-15,8.737956204322941e-16,3.5525360431165836e-16,6.232815561127061,1.3003257950857756,1
model_B4_lambda_phage_low,1,p_cI,107.69816084248643,21.405179262028184,0.19875157657830442,0.05922324725573794,19.36885117272213,114.2682852881732,0.16950329764620736,114.26828528732814,4.262545812603076e-13,3.7302964701752965e-15,2.479694671819756e-14,114.2682852873286,28.61398354709434,1
model_B4_lambda_phage_low,2,m_Cro,0.055633359939859225,0.20035851064221036,3.6014094934262557,0.0016435253457058197,0.017184438872360017,3.0,0.005728146291118096,0.017184438872944838,1.0874045997147742e-16,6.327844672097525e-15,5.29062904597314e-18,0.017184438872945143,0.9937166548633695,1
model_B4_lambda_phage_low,3,p_Cro,1.0769320119127175,3.0265560625923857,2.8103501698442126,0.018487038980530328,0.31504804595968866,22.57854288278088,0.013953426826358244,0.315048046004063,2.557770250579571e-14,8.118667241435506e-14,1.4360179712014158e-15,0.31504804600404174,16.879764678316246,1
model_B5_I1FFL,0,Y0,2.501515388935355,0.02124614818919097,0.008493311007862653,0.00029095229371704323,2.5,3.0,0.8333333333333889,2.5,0.0,0.0,0.0,2.5,2.560612832881582,1
